,sentyr,songername,demean_logprisonsentmonths,christian,aba_best,x_black,x_dem,age,trial,gender
10948,2006,"PRATTER, GENE E.K.",0.6585643887519836,0.0,1.0,0.0,0.0,57.0,0.2222222238779068,0.0
14788,2003,"WILSON, WILLIAM ROY, JR.",-0.4345877766609192,1.0,1.0,0.0,1.0,64.0,0.02500000037252903,1.0
2769,2009,"COOPER, CLARENCE",0.4749911427497864,1.0,0.0,1.0,1.0,67.0,0.14705882966518402,1.0
912,2005,"BERRIGAN, HELEN G.",-0.6095722913742065,1.0,1.0,0.0,1.0,57.0,0.12903225421905518,0.0
5639,1993,"HEAD, HAYDEN WILSON, JR.",-0.8731062412261963,1.0,0.0,0.0,0.0,49.0,0.25,1.0
10074,2000,"NIELSEN, WILLIAM FREMMING",0.07262811809778214,1.0,0.0,0.0,0.0,66.0,0.043478261679410934,1.0
6463,2010,"HURLEY, DANIEL T.K.",-0.34520381689071655,0.0,1.0,0.0,1.0,67.0,0.10526315867900848,1.0
15091,2011,"YOUNG, WILLIAM G.",0.8667973279953003,1.0,0.0,0.0,0.0,71.0,0.10000000149011612,1.0
3662,1996,"DWYER, WILLIAM L.",-1.4991706609725952,1.0,0.0,0.0,0.0,67.0,0.5,1.0
119,2001,"ALBRITTON, WILLIAM H., III",-0.07400275766849518,1.0,1.0,0.0,0.0,65.0,0.02222222276031971,1.0
7945,2009,"LEE, TOM STEWART",0.41188499331474304,1.0,0.0,0.0,0.0,68.0,0.029411764815449715,1.0
8278,2000,"LIVAUDAIS, MARCEL, JR.",-0.598931610584259,0.0,0.0,0.0,0.0,75.0,0.0,1.0
1611,1997,"BUCKLEW, SUSAN C.",0.12981855869293213,1.0,0.0,0.0,1.0,55.0,0.059405941516160965,0.0
293,2001,"ANDERSON, JOSEPH F., JR.",-0.09723849594593048,1.0,0.0,0.0,0.0,52.0,0.11627907305955887,1.0
9391,1988,"MILLER, ROBERT L., JR.",-0.11378063261508942,1.0,0.0,0.0,0.0,38.0,0.7142857313156128,1.0
8375,2011,"LOZANO, RUDY",-0.07147396355867386,0.0,1.0,0.0,0.0,69.0,0.1111111119389534,1.0
2878,1995,"COYLE, ROBERT E.",-0.7294788360595703,1.0,1.0,0.0,0.0,65.0,0.0,1.0
14867,1997,"WOLF, MARK L.",1.3075706958770752,0.0,0.0,0.0,0.0,51.0,0.5,1.0
10820,1988,"POLLAK, LOUIS H.",0.0,0.0,1.0,0.0,1.0,66.0,0.0,1.0
11289,2006,"REED, EDWARD C., JR.",0.0668715164065361,1.0,0.0,0.0,1.0,82.0,0.06060606241226196,1.0
11447,1996,"ROBINSON, MARY LOU",-0.004604498390108347,1.0,0.0,0.0,1.0,70.0,0.0,0.0
13429,2000,"TAURO, JOSEPH L.",-1.556301474571228,0.0,0.0,0.0,0.0,69.0,0.021739130839705467,1.0
868,2011,"BENNETT, RICHARD D.",0.034481022506952286,0.0,1.0,0.0,0.0,64.0,0.0,1.0
9893,2010,"MURPHY, GEORGE PATRICK",0.0892447978258133,0.0,0.0,0.0,1.0,62.0,0.0,1.0
11104,2008,"RAFEEDIE, EDWARD",0.07218805700540543,0.0,1.0,0.0,0.0,79.0,0.0,1.0
15054,1999,"YOUNG, GEORGE CRESSLER",0.7246296405792236,1.0,0.0,0.0,1.0,83.0,0.0,1.0
15141,1992,"ZATKOFF, LAWRENCE P.",-0.6006870269775391,0.0,1.0,0.0,0.0,53.0,0.0,1.0
9547,2008,"MOODY, JAMES S.",0.640758752822876,1.0,1.0,0.0,1.0,61.0,0.03496503457427025,1.0
8150,2006,"LEVI, DAVID F.",0.04508006200194359,0.0,0.0,0.0,0.0,55.0,0.019999999552965164,1.0
13284,2010,"STROM, LYLE E.",0.3981926739215851,0.0,1.0,0.0,0.0,85.0,0.016129031777381897,1.0
610,1998,"BARRY, MARYANNE TRUMP",0.12744328379631042,1.0,0.0,0.0,1.0,61.0,0.1538461595773697,0.0
1738,2011,"BURNS, ELLEN B.",1.179101824760437,0.0,0.0,0.0,1.0,88.0,0.043478261679410934,0.0
5719,2003,"HENDREN, JIMM LARRY",-0.38243576884269714,1.0,0.0,0.0,0.0,63.0,0.03614457696676254,1.0
14276,1992,"WANGER, OLIVER WINSTON",1.5894572413799324e-07,1.0,1.0,0.0,0.0,52.0,0.6666666865348816,1.0
8534,2009,"MANNING, BLANCHE M.",0.1206846833229065,0.0,0.0,1.0,1.0,75.0,0.12068965286016464,0.0
3816,1997,"ELLIS, T.S., III",0.7951472401618958,1.0,1.0,0.0,0.0,57.0,0.0,1.0
3308,2006,"DIAMOND, GUSTAVE",0.04396302253007889,0.0,0.0,0.0,1.0,78.0,0.016129031777381897,1.0
7662,2006,"KRIEGER, MARCIA S.",-0.12940533459186554,0.0,1.0,0.0,0.0,52.0,0.04477611929178238,0.0
8582,1999,"MAROVICH, GEORGE M.",0.2784133851528168,0.0,1.0,0.0,0.0,68.0,0.10204081982374191,1.0
6488,1999,"HUTTON, HERBERT J.",-0.07660245150327682,1.0,0.0,1.0,0.0,62.0,0.03999999910593033,1.0
9686,2007,"MORENO, FEDERICO A.",0.3331049382686615,0.0,0.0,0.0,0.0,55.0,0.09900990128517151,1.0
