,sentyr,judgeid,disparity_sex,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,black_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
5037,2007,"TARNOW, ARTHUR J.",-0.22606933116912842,0.0,0.0,0.0,0.0,-0.28070175647735596,0.0,0.0,0.0,0.0350877046585083,0.0,0.15789473056793213,0.0,-0.2280701845884323,0.0,0.05263157933950424,0.0,0.15789473056793213,0.05263157933950424,0.05263157933950424,0.0,0.0,0.0,-0.35087722539901733,-0.2280701845884323,0.42105257511138916,1.0,9.0
2277,2006,"HITTNER, DAVID",-0.12832984328269958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34210526943206787,0.0,0.21052631735801697,0.0,-0.3947368264198303,0.21052631735801697,0.15789473056793213,0.0,0.05263157933950424,0.0,0.05263157933950424,0.05263157933950424,0.0,0.0,-0.026315778493881226,0.2631579041481018,4.842105388641357,1.0,20.0
4398,2003,"RUSSELL, THOMAS B.",0.061990708112716675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.3125,0.0,-0.8125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.4375,0.0,-1.625,1.0,9.0
639,2003,"BURGESS, FRANKLIN D.",0.1815226674079895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222238779068,0.0,0.3333333432674408,0.2222222238779068,-1.0,0.0,0.0,0.0,0.2222222238779068,0.0,0.0,0.0,0.0,0.0,-0.3888888955116272,0.0,0.3333333730697632,1.0,9.0
393,2007,"BLACK, BRUCE D.",0.13267061114311218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333350419998169,0.0,0.1599999964237213,0.0,-0.6666666865348816,0.23999999463558197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800000011920929,0.0,0.0,-1.1333332061767578,1.0,12.0
2349,2009,"HOOD, JOSEPH M.",0.009781884029507637,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571343421936,0.0,0.1785714328289032,0.0,0.0357142873108387,0.0357142873108387,0.0,0.0,0.0357142873108387,0.0,-0.5,0.0,0.0,0.0,0.1428571343421936,0.0,0.2857142686843872,1.0,19.0
2665,2006,"JORGENSON, CINDY K.",0.04700242355465889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5454545021057129,0.0,0.06060606241226196,0.0,0.0,0.42424243688583374,0.03030303120613098,0.0,0.0,0.0,0.0,0.0,0.0,0.03030303120613098,0.03030303120613098,0.06060606241226196,0.12121212482452393,0.0,4.0
2888,2011,"KORMAN, EDWARD R.",0.025249995291233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0
3771,2005,"MURPHY, HAROLD L.",0.043360792100429535,-0.09090909361839294,0.0,0.0,0.0,0.0,0.0,0.0357142873108387,0.0,-0.11688312888145447,0.0,-0.019480518996715546,0.0,-0.1461039036512375,0.3214285671710968,-0.055194806307554245,0.0,0.0357142873108387,0.0,0.0357142873108387,0.0,0.0,0.0,0.016233764588832855,0.1428571492433548,0.600649356842041,1.0,28.0
3845,2007,"NUGENT, DONALD C.",0.06638851016759872,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3499999940395355,0.0,0.23999999463558197,0.0,-0.21000000834465027,0.03999999910593033,0.03999999910593033,0.0,0.03999999910593033,0.07999999821186066,0.03999999910593033,0.0,0.0,0.03999999910593033,0.6000000238418579,0.20000000298023224,2.140000104904175,1.0,12.0
5489,2006,"WINDER, DAVID K.",-0.11124487221240997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2291666865348816,0.0,0.3125,0.0,0.0625,0.125,0.0,0.0,-0.2708333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0
4737,2005,"SKRETNY, WILLIAM M.",0.03250957652926445,0.0,0.0,0.0,0.01886792480945587,0.0,0.0,0.0,0.0,0.43396225571632385,0.0,0.18867924809455872,0.0,0.09433962404727936,0.09433962404727936,-0.9811320900917053,0.0,0.01886792480945587,0.056603774428367615,0.056603774428367615,0.0,0.01886792480945587,0.0,-0.43396228551864624,0.03773584961891174,0.11320757865905762,1.0,15.0
1908,2011,"GLEESON, JOHN",0.0013348598731681705,0.0,0.0,0.0,0.0,-0.3333333134651184,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,3.3333334922790527,1.0,17.0
1820,2007,"GAUGHAN, PATRICIA A.",-0.004257486201822758,0.0,0.0,0.0,0.0,0.06896551698446274,0.0,0.0,0.0,0.12068963050842285,0.0,0.13793103396892548,0.0,-0.4655172526836395,0.06896551698446274,0.0,0.0,0.06896551698446274,0.0,0.0,0.0,0.0,0.0,0.2931034564971924,0.27586206793785095,-0.3103448152542114,0.0,12.0
4532,2010,"SCHROEDER, THOMAS D.",0.09852121025323868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15611815452575684,0.0,0.4303797483444214,-0.09845288097858429,-0.25738397240638733,0.005625873804092407,0.0,0.0,0.050632912665605545,0.0,0.012658228166401386,0.0,0.0,0.012658228166401386,-0.02672293782234192,0.025316456332802773,-0.2841068506240845,1.0,2.0
5132,2006,"TOWNES, SANDRA L.",0.09940692782402039,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8571428656578064,0.0,0.0714285746216774,0.0,0.2142857164144516,0.2857142984867096,0.0,0.0,0.0,0.2142857164144516,0.0,0.0,0.0,0.0,-0.6428571343421936,0.0714285746216774,0.07142853736877441,0.0,2.0
5539,2009,"WOODLOCK, DOUGLAS P.",0.12521904706954956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703703731298447,0.48148149251937866,0.03703703731298447,0.07407407462596893,0.0,-1.0,0.07407407462596893,0.0,0.0,0.03703703731298447,0.0,0.2222222238779068,0.0,0.03703703731298447,0.0,0.18518517911434174,0.03703703731298447,1.592592477798462,1.0,23.0
1863,2008,"GIBSON, KIM R.",0.09671632200479507,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.038461536169052124,0.0,0.1538461595773697,0.0,0.0,0.07692307978868484,0.0,0.0,0.23076923191547394,0.0,0.0,0.0,0.0,0.07692307978868484,0.4615384638309479,-1.0,0.4615384340286255,1.0,5.0
3127,2010,"LINARES, JOSE L.",0.19724787771701813,0.0,0.0,0.0,0.0,0.0,-0.1428571492433548,0.0,0.0,0.079365074634552,0.0,0.1666666716337204,0.0,-0.2063492089509964,-0.0317460373044014,0.0555555559694767,0.0,0.0,0.0238095223903656,0.0,0.0555555559694767,0.0,0.0,-0.039682537317276,-0.1746031939983368,-2.730158567428589,1.0,8.0
1272,2007,"DEGIUSTI, TIMOTHY D.",-0.2031610906124115,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,-0.4000000059604645,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,-0.19999998807907104,0.10000000149011612,0.10000002384185791,1.0,0.0
4115,2008,"PRESNELL, GREGORY A.",0.07145130634307861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999731779099,0.0,0.07999999821186066,0.03999999910593033,-0.25999999046325684,-0.3400000035762787,0.1599999964237213,0.0,0.11999999731779099,0.0,0.0,0.03999999910593033,0.03999999910593033,0.0,0.07999999821186066,0.11999999731779099,0.24000000953674316,1.0,8.0
5545,2007,"WOOTEN, TERRY L.",0.07887880504131317,0.0,0.0,0.0,0.0,0.0,0.01785714365541935,0.0,0.0,0.5892857313156128,0.0,0.1785714328289032,0.0535714291036129,-0.4464285671710968,0.0357142873108387,-0.5,0.0,0.0,0.0,0.0535714291036129,0.0,0.01785714365541935,0.0,0.25,0.0535714291036129,-0.17857146263122559,1.0,6.0
3700,2008,"MORROW, MARGARET M.",0.26364508271217346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8125,0.0,0.125,0.0,0.125,0.1875,0.0625,0.0,0.0625,0.125,0.0625,0.0,0.0,0.0625,-0.25,0.0,-1.1875,0.0,10.0
2395,2007,"HOYT, KENNETH M.",-0.01777571253478527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.30000001192092896,0.0,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,-0.8999999761581421,0.0,0.30000001192092896,-1.0,0.20000004768371582,1.0,19.0
