,sentyr,judgeid,demean_harshness,race1,race2,race3,race4,race5,race6,race7,race8,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8,cr9,cr10,cr11,cr12,cr13,cr14,cr15,cr16,cr17,cr18,cr19,cr20,cr21,cr22,monsex,trial,nocounts,malejudge,judge_yearsonbench
5167,2008,"NORGLE, CHARLES R., SR.",-0.009277410805225372,0.6470588445663452,0.29411765933036804,0.0,0.0,0.0,0.0,0.05882352963089943,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352963089943,0.0,0.0,0.29411765933036804,0.0,0.11764705926179886,0.0,0.1764705926179886,0.1764705926179886,0.0,0.0,0.0,0.0,0.05882352963089943,0.11764705926179886,0.0,0.0,0.05882352963089943,0.3529411852359772,7.294117450714111,1.0,24
660,2003,"BREYER, CHARLES R.",-0.11547671258449554,0.4444444477558136,0.2222222238779068,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444477558136,0.0,0.1111111119389534,0.2222222238779068,0.0,0.0,0.0,0.0,0.1111111119389534,0.0,0.1111111119389534,0.0,0.0,0.0,0.2222222238779068,0.1111111119389534,1.6666666269302368,1.0,6
3114,2003,"HOLMES, SVEN E.",-0.17807048559188843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9
621,2005,"BOYLE, TERRENCE W.",-0.0012477717828005552,0.4390243887901306,0.5365853905677795,0.0,0.012195121496915817,0.0,0.012195121496915817,0.0,0.0,0.02469135820865631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3827160596847534,0.02469135820865631,0.29629629850387573,0.0,0.06172839552164078,0.07407407462596893,0.0,0.0,0.012345679104328156,0.0,0.08641975373029709,0.012345679104328156,0.0,0.02469135820865631,0.060975611209869385,0.024390242993831635,1.4634146690368652,1.0,21
2066,2008,"FALLON, ELDON E.",-0.019939260557293892,0.2857142984867096,0.7142857313156128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999998807907104,0.0,0.20000000298023224,0.0,0.15000000596046448,0.15000000596046448,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.0,0.0476190485060215,0.190476194024086,1.952380895614624,1.0,13
173,2008,"ARGUELLO, CHRISTINE M.",-0.23891830444335938,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
1332,2011,"CONMY, PATRICK A.",0.07246256619691849,0.6666666865348816,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,1.0,1.0,26
5175,2007,"NORTON, DAVID C.",-0.03404323011636734,0.27586206793785095,0.7241379022598267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448152542114,0.0,0.4137931168079376,0.03448275849223137,0.13793103396892548,0.06896551698446274,0.0,0.0,0.0,0.03448275849223137,0.0,0.0,0.0,0.0,0.06896551698446274,0.03448275849223137,1.9310344457626343,1.0,17
541,2010,"BLAKE, CATHERINE C.",-0.02661314234137535,0.4285714328289032,0.5428571701049805,0.0,0.0,0.0,0.0,0.02857142873108387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764815449715,0.0,0.47058823704719543,0.0,0.1764705926179886,0.0,0.14705882966518402,0.05882352963089943,0.0,0.0,0.0882352963089943,0.0,0.0,0.0,0.0,0.029411764815449715,0.08571428805589676,0.11428571492433548,1.6857142448425293,0.0,15
4227,2010,"LINDBERG, GEORGE W.",-0.06640993058681488,0.7272727489471436,0.27272728085517883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454680919647,0.0,0.0,0.0,0.1818181872367859,0.1818181872367859,0.0,0.0,0.09090909361839294,0.0,0.09090909361839294,0.0,0.0,0.0,0.0,0.1818181872367859,2.3636362552642822,1.0,21
