,judgeid,demean_harshness,race1,monsex,nocounts,gender,x_black,x_dem,aba_best,christian,judge_yearsonbench
3617,"ROBINSON, JULIE A.",0.030892470851540565,0.5555555820465088,0.1388888955116272,2.027777671813965,2.0,1.0,0.0,1.0,1.0,9
374,"BREYER, CHARLES R.",-0.08951878547668457,0.6111111044883728,0.29411765933036804,1.3333333730697632,1.0,0.0,1.0,1.0,0.0,11
3431,"PONSOR, MICHAEL A.",-0.004936087876558304,0.6666666865348816,0.1666666716337204,5.277777671813965,1.0,0.0,1.0,1.0,1.0,14
4785,"WINGATE, HENRY T.",-0.030287910252809525,0.3076923191547394,0.19230769574642181,1.115384578704834,1.0,1.0,0.0,0.0,1.0,20
2218,"KAHN, LAWRENCE E.",0.04469551518559456,0.7058823704719543,0.05882352963089943,1.0,1.0,0.0,1.0,0.0,0.0,13
3267,"O'MALLEY, KATHLEEN M.",-0.007692860439419746,0.4117647111415863,0.1764705926179886,3.470588207244873,2.0,0.0,1.0,1.0,0.0,12
1549,"GETTLEMAN, ROBERT W.",0.029661577194929123,0.5,0.0,1.399999976158142,1.0,0.0,1.0,1.0,0.0,9
1569,"GIBSON, KIM R.",-0.059774454683065414,0.699999988079071,0.10000000149011612,1.2999999523162842,1.0,0.0,0.0,1.0,0.0,3
1779,"HAMILTON, JEAN C.",-0.030002089217305183,0.5849056839942932,0.11320754885673523,1.5660377740859985,2.0,0.0,0.0,1.0,1.0,19
4254,"STORY, RICHARD W.",0.02752935327589512,0.5945945978164673,0.0810810774564743,1.5135135650634766,1.0,0.0,1.0,1.0,1.0,8
735,"COAR, DAVID H.",-0.01219972874969244,0.5199999809265137,0.07999999821186066,2.0399999618530273,1.0,1.0,1.0,1.0,0.0,12
1050,"DER-YEGHIAYAN, SAMUEL",-0.05976666137576103,0.6363636255264282,0.13636364042758942,1.3636363744735718,1.0,0.0,0.0,0.0,0.0,4
812,"CONLON, SUZANNE B.",-0.006543307565152645,0.6000000238418579,0.0,2.200000047683716,2.0,0.0,0.0,0.0,0.0,23
967,"DAVIDSON, GLEN H.",-0.04775677248835564,0.2666666805744171,0.20000000298023224,1.2000000476837158,1.0,0.0,0.0,0.0,1.0,22
1996,"HOUSTON, JOHN A.",-0.020646575838327408,0.8947368264198303,0.05263157933950424,1.2894736528396606,1.0,1.0,0.0,1.0,0.0,3
4570,"VIETOR, HAROLD D.",0.09525281935930252,0.75,0.0,2.0,1.0,0.0,1.0,1.0,1.0,31
1823,"HAYES, WILLIAM Q.",0.06057285517454147,0.9090909361839294,0.09090909361839294,1.454545497894287,1.0,0.0,0.0,0.0,0.0,2
4335,"TARNOW, ARTHUR J.",-0.0012465938925743103,0.7142857313156128,0.1428571492433548,1.2857142686843872,1.0,0.0,1.0,0.0,0.0,11
4757,"WILLIAMS, GLEN M.",-0.061078257858753204,0.3333333432674408,0.1111111119389534,2.777777671813965,1.0,0.0,0.0,1.0,1.0,33
2918,"MCVERRY, TERRENCE F.",-0.021535735577344894,0.7058823704719543,0.05882352963089943,2.7647058963775635,1.0,0.0,0.0,1.0,0.0,2
1567,"GIBSON, KIM R.",-0.08257494866847992,1.0,0.0,3.3333332538604736,1.0,0.0,0.0,1.0,0.0,1
3057,"MOON, NORMAN K.",-0.01772458292543888,0.42105263471603394,0.15789473056793213,2.3157894611358643,1.0,0.0,1.0,1.0,1.0,6
