,sentyr,judgeid,disparity_race,monsex_disparity,nocounts_disparity,gender,x_black,x_dem,aba_best,christian
316,2011,"BOYLE, TERRENCE W.",0.07816770672798157,0.02477477490901947,-0.00450444221496582,1.0,0.0,0.0,0.0,0.0
4225,2003,"WOODLOCK, DOUGLAS P.",0.02284315600991249,0.0,-0.8333332538604736,1.0,0.0,0.0,0.0,1.0
1893,2004,"JARVIS, JAMES H., II",0.017039425671100616,0.0,-1.1166667938232422,1.0,0.0,0.0,0.0,1.0
4228,2008,"WOODLOCK, DOUGLAS P.",0.03888637572526932,-0.1538461595773697,-0.769230842590332,1.0,0.0,0.0,0.0,1.0
3636,2005,"STADTMUELLER, JOSEPH P.",-0.001393881975673139,0.14814814925193787,0.2640901803970337,1.0,0.0,0.0,1.0,0.0
3451,2006,"SHAW, CHARLES A.",0.10995255410671234,-0.20416668057441711,0.23749995231628418,1.0,1.0,1.0,1.0,1.0
761,2008,"COOPER, FLORENCE-MARIE",-0.01619023270905018,-0.10526315867900848,-0.736842155456543,0.0,0.0,1.0,1.0,0.0
519,2007,"CARNEY, CORMAC J.",-0.00688618328422308,0.0,0.1944444179534912,1.0,0.0,0.0,0.0,0.0
1253,2005,"FRANK, DONOVAN W.",0.06476723402738571,0.0,-0.14705884456634521,1.0,0.0,1.0,0.0,1.0
3934,2005,"TURK, JAMES C.",-0.0027062646113336086,-0.09090909361839294,0.0,1.0,0.0,0.0,0.0,1.0
966,2009,"DICLERICO, JOSEPH A., JR.",0.016169238835573196,0.1666666716337204,0.27777767181396484,1.0,0.0,0.0,1.0,0.0
4190,2010,"WOLF, MARK L.",-0.25586506724357605,-0.0714285746216774,1.5714285373687744,1.0,0.0,0.0,0.0,0.0
1049,2009,"DUFFEY, WILLIAM S., JR.",-0.008723994717001915,0.08974359184503555,0.08974349498748779,1.0,0.0,0.0,1.0,0.0
64,2004,"ANDERSEN, WAYNE R.",-0.13481956720352173,0.0,0.32307684421539307,1.0,0.0,0.0,0.0,1.0
1281,2004,"FRIOT, STEPHEN P.",3.7252903539730653e-10,-0.20000000298023224,-0.10000002384185791,1.0,0.0,0.0,1.0,0.0
3084,2003,"RANDA, RUDOLPH T.",-0.002142860321328044,0.0,-0.07142853736877441,1.0,0.0,0.0,0.0,0.0
1022,2003,"DOUMAR, ROBERT G.",-2.3283064365386963e-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0
672,2011,"COHN, AVERN L.",-0.006920710206031799,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1057,2005,"DUGGAN, PATRICK J.",-0.0014082308625802398,0.20000000298023224,-0.6000000238418579,1.0,0.0,0.0,1.0,0.0
2533,2004,"MCKINNEY, LARRY J.",-0.0036938185803592205,0.12664473056793213,0.39309215545654297,1.0,0.0,0.0,1.0,1.0
2185,2010,"LANCASTER, GARY L.",-0.07324162125587463,0.10000000149011612,-0.3571428060531616,1.0,1.0,1.0,0.0,1.0
2551,2011,"MCLAUGHLIN, SEAN J.",5.3218434103996515e-09,0.0,-0.0952380895614624,1.0,0.0,1.0,0.0,0.0
2669,2011,"MOODY, JAMES M.",0.10830362886190414,-0.20000000298023224,-0.20000004768371582,1.0,0.0,1.0,1.0,1.0
4048,2004,"WALTER, DONALD E.",0.032296933233737946,-0.0595238134264946,-4.535714149475098,1.0,0.0,0.0,0.0,0.0
2714,2010,"MORDUE, NORMAN A.",0.03406272828578949,-0.09090909361839294,-0.39393937587738037,1.0,0.0,1.0,0.0,1.0
3241,2005,"RUFE, CYNTHIA M.",0.03172089159488678,-0.1111111119389534,0.4444444179534912,0.0,0.0,0.0,1.0,0.0
626,2003,"CHIN, DENNY",0.07612697780132294,0.0,-0.8571428060531616,1.0,0.0,1.0,1.0,1.0
2755,2006,"MULLEN, GRAHAM C.",0.061617910861968994,-0.07773109525442123,-0.30672264099121094,1.0,0.0,0.0,1.0,1.0
3900,2005,"TRAGER, DAVID G.",0.02715645730495453,-0.1538461595773697,0.923076868057251,1.0,0.0,1.0,1.0,0.0
3234,2006,"ROSS, ALLYNE R.",-0.014452721923589706,0.1428571492433548,0.3690476417541504,0.0,0.0,1.0,1.0,0.0
3115,2009,"REED, EDWARD C., JR.",-0.0029839908238500357,0.0,-0.13333332538604736,1.0,0.0,1.0,0.0,1.0
1336,2007,"GARCIA, EDWARD J.",0.1189236119389534,0.1875,0.0625,1.0,0.0,0.0,0.0,0.0
1900,2005,"JENKINS, MARTIN J.",0.030160129070281982,-0.3333333432674408,-1.7142857313156128,1.0,1.0,1.0,1.0,0.0
699,2010,"COLLYER, ROSEMARY M.",-0.06666667014360428,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3236,2004,"ROSS, ALLYNE R.",0.09814165532588959,-0.034090906381607056,-0.13636362552642822,0.0,0.0,1.0,1.0,0.0
2941,2006,"PHILLIPS, THOMAS W.",0.09733168035745621,0.0039525702595710754,-0.05928850173950195,1.0,0.0,0.0,1.0,0.0
2653,2011,"MOLLOY, DONALD W.",-0.05614133179187775,-0.22641509771347046,-0.20754718780517578,1.0,0.0,1.0,1.0,0.0
1750,2008,"HOLWELL, RICHARD J.",-0.0568670816719532,0.0,-0.9333332777023315,1.0,0.0,0.0,1.0,0.0
671,2007,"COHN, AVERN L.",0.011866513639688492,0.0416666679084301,0.5,1.0,0.0,1.0,0.0,0.0
3166,2008,"ROBINSON, JULIE A.",-0.06880348920822144,-0.13793103396892548,-0.2664576768875122,0.0,1.0,0.0,1.0,1.0
818,2011,"CROW, SAM A.",-0.061358626931905746,-0.1111111119389534,-0.4444444179534912,1.0,0.0,0.0,0.0,1.0
4169,2004,"WINDER, DAVID K.",0.24227969348430634,0.0,-0.1379309892654419,1.0,0.0,1.0,0.0,1.0
2298,2010,"LINDBERG, GEORGE W.",-0.0016159506049007177,0.0,-0.5,1.0,0.0,0.0,0.0,1.0
1450,2006,"GOLD, ALAN S.",0.04855513572692871,-0.11764705926179886,-0.5882352590560913,1.0,0.0,1.0,1.0,0.0
1294,2010,"FULLAM, JOHN P.",-0.002946991939097643,0.1428571492433548,1.2857141494750977,1.0,0.0,1.0,1.0,0.0
4261,2006,"YOHN, WILLIAM H., JR.",0.21536016464233398,-0.20000000298023224,-3.5999999046325684,1.0,0.0,0.0,1.0,1.0
3576,2004,"SMITH, WALTER S., JR.",-0.11674496531486511,-0.12482202053070068,0.015187501907348633,1.0,0.0,0.0,1.0,1.0
3749,2011,"STROM, LYLE E.",0.14555862545967102,0.04666667431592941,-0.23333334922790527,1.0,0.0,0.0,1.0,0.0
3232,2010,"ROSS, ALLYNE R.",0.02535976469516754,0.0,-2.200000047683716,0.0,0.0,1.0,1.0,0.0
492,2011,"CAMPBELL, TENA",-0.13358058035373688,0.4354838728904724,0.30645155906677246,0.0,0.0,1.0,1.0,0.0
2694,2008,"MOON, NORMAN K.",-0.06570758670568466,-0.12179487198591232,0.1858973503112793,1.0,0.0,1.0,1.0,1.0
1919,2008,"JONES, BARBARA S.",-0.014350492507219315,0.0,0.9999998807907104,0.0,0.0,1.0,1.0,0.0
968,2010,"DIMITROULEAS, WILLIAM P.",-0.11465197801589966,0.10000000149011612,-0.3222222328186035,1.0,0.0,1.0,1.0,0.0
