,sentyr,judgeid,disparity_race,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,monsex_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
1949,2004,"FLANAGAN, LOUISE W.",0.03430735319852829,0.05714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03999999165534973,0.0,0.20571428537368774,-0.03999999910593033,0.1428571492433548,-0.23999999463558197,-0.03999999910593033,0.0,-0.03999999910593033,0.02857142873108387,0.005714289844036102,0.0,-0.03999999910593033,0.0,-0.051428571343421936,0.01714285835623741,-0.31999993324279785,0.0,1.0
2517,2006,"HARRINGTON, EDWARD F.",0.03549483045935631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.0,1.0,18.0
1837,2009,"EZRA, DAVID A.",-0.045161172747612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12790697813034058,0.0,-0.06976744532585144,-0.023255813866853714,0.3604651093482971,-0.09302325546741486,0.0,0.0,-0.023255813866853714,0.0,0.0,0.0,0.0,-0.023255813866853714,-0.3255814015865326,-0.023255813866853714,-0.11627912521362305,1.0,21.0
430,2007,"BERTELSMAN, WILLIAM O.",-0.14127880334854126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333358168602,0.38333335518836975,0.0,-0.0833333358168602,0.0,-0.04999999701976776,0.0,0.0,0.0,-0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.03333333134651184,0.0,-0.6666666269302368,1.0,28.0
1081,2009,"COAR, DAVID H.",0.09077775478363037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1388888955116272,0.0,0.472222238779068,0.0,0.0277777761220932,-0.3333333432674408,0.0,0.0,0.0,0.0,0.1388888955116272,-0.0833333358168602,-0.0833333358168602,0.0,0.0555555522441864,0.1944444477558136,2.527777671813965,1.0,15.0
6418,2006,"WHITTEMORE, JAMES D.",0.00550057040527463,0.025462962687015533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30324074625968933,0.0,0.0138888880610466,0.0,0.0138888880610466,-0.3333333432674408,0.0,0.0,-0.023148149251937866,0.0,0.0,0.0,0.0,0.0,-0.0486111119389534,0.025462962687015533,0.11342597007751465,1.0,6.0
2600,2007,"HERLONG, HENRY M., JR.",0.06184566393494606,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,0.05086207389831543,0.0,0.16379311680793762,0.08793103694915771,-0.23103448748588562,-0.10000000149011612,0.0,0.0,0.0,0.0,0.00948275811970234,-0.02500000037252903,0.03448275849223137,0.03448275849223137,0.022413790225982666,-0.06551724672317505,-1.0672413110733032,1.0,16.0
4293,2004,"MOORE, WILLIAM T., JR.",0.03332545980811119,0.0,0.0,0.0,0.0,0.0,0.0,0.03703703731298447,0.0,-0.10370370745658875,0.0,0.4685184955596924,0.03703703731298447,-0.15000000596046448,-0.06296296417713165,0.0,0.0,-0.05000000074505806,0.0,-0.025925926864147186,-0.10000000149011612,-0.05000000074505806,0.0,-0.012962963432073593,0.03703703731298447,-0.4296295642852783,1.0,10.0
734,2003,"BUCKWALTER, RONALD L.",0.03798317536711693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666269302368,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,1.8333334922790527,1.0,13.0
851,2008,"CAMPBELL, TENA",-0.0070249540731310844,-0.012345679104328156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395061790943146,0.0,0.04012346267700195,-0.012345679104328156,0.17592592537403107,-0.2716049253940582,0.0,0.0,-0.07407407462596893,-0.07407407462596893,-0.012345679104328156,-0.03703703731298447,-0.02469135820865631,-0.03703703731298447,-0.03750000149011612,-0.04938271641731262,-0.604938268661499,0.0,13.0
474,2006,"BLACKBURN, ROBERT E.",0.05045945942401886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3761904835700989,0.0,0.46666669845581055,0.0,0.0,-0.11428571492433548,0.0,0.0,-0.02857142873108387,-0.02857142873108387,-0.02857142873108387,0.0,0.0,0.10952381789684296,0.0,-0.05714285746216774,-0.485714316368103,1.0,4.0
3206,2003,"KATZ, DAVID A.",0.06212139129638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2142857015132904,-0.1428571492433548,0.1071428507566452,-0.1428571492433548,-0.1428571492433548,0.0,0.0,0.0,-0.1428571492433548,0.0,0.0,0.0,-0.4285714328289032,-0.2857142984867096,-22.285715103149414,1.0,9.0
3284,2003,"KENNELLY, MATTHEW F.",0.08647524565458298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.625,0.0,0.5,-0.125,0.5,-0.125,0.0,0.0,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0
2942,2009,"IRIZARRY, DORA L.",-0.20886704325675964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07142859697341919,0.0,-0.017857149243354797,0.0,0.0892857015132904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.1428571492433548,1.75,0.0,5.0
2162,2007,"GAUGHAN, PATRICIA A.",-0.07350797951221466,0.0,0.0,0.0,0.0,-0.2857142984867096,0.0,0.0,0.0,0.7916666865348816,0.0,-0.017857149243354797,0.0,-0.2857142984867096,-0.1011904776096344,0.0,0.0,-0.1011904776096344,0.0,0.0,0.0,0.0,0.0,-0.1011904776096344,0.3333333432674408,-0.1904761791229248,0.0,12.0
6235,2008,"VRATIL, KATHRYN H.",0.02951721101999283,-0.05882352963089943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24369749426841736,0.0,0.08403362333774567,0.0,-0.11764705926179886,-0.11764705926179886,0.1428571492433548,0.0,-0.05882352963089943,0.0,-0.11764705926179886,0.0,0.0,0.0,-0.03361344337463379,-0.11764705926179886,-0.06722688674926758,0.0,16.0
5603,2006,"SLEET, GREGORY M.",0.18061575293540955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666669845581055,0.0,-0.06666666269302368,0.0,0.0,-0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.3333333432674408,0.13333332538604736,1.0,8.0
